,ID,Name,DateTime,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,IsPureBreed,Breed1,Breed2,IsPopularBreed,AnimalSize,IsGoodWithKids,AnimalTemperament,AnimalTrainability,AnimalGrooming,Color1,Color2,IsPureColor,HasName,AgeGroup,WeekYear,WeekDay,WorkingDay,DayYear,Month,Quarter,Year,ExitHour,ExitMinute,IsOpen,Holiday,Sex,Fertile
0,1,Summer,2015-10-12 12:15:00,1,Intact Female,300.0,1023,0,235,102,1,4,1,1,1,1,6,1,0,1,1,42,0,1,285,10,2,2015,12,15,1,0,1,1
1,2,Cheyenne,2014-07-26 17:59:00,1,Spayed Female,730.0,875,0,186,135,0,4,1,2,2,1,5,4,0,1,2,30,5,1,207,7,1,2014,17,59,1,0,1,0
2,3,Gus,2016-01-13 12:20:00,0,Neutered Male,365.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,1,1,2,2,1,13,1,0,2016,12,20,1,0,0,0
3,4,Pongo,2013-12-28 18:12:00,1,Intact Male,120.0,658,0,127,102,0,0,2,0,0,0,13,-1,1,1,0,52,5,1,362,12,3,2013,18,12,1,0,0,1
4,5,Skooter,2015-09-24 17:59:00,1,Neutered Male,730.0,1165,0,257,102,1,2,1,1,1,3,1,-1,1,1,2,39,3,1,267,9,2,2015,17,59,1,0,0,0
5,6,Beau,2015-06-23 11:17:00,1,Neutered Male,1095.0,208,0,40,102,0,2,1,2,2,1,0,1,0,1,2,26,1,1,174,6,1,2015,11,17,1,0,0,0
6,7,Bobo,2014-03-12 09:45:00,0,Neutered Male,4745.0,772,0,153,102,1,0,2,0,0,0,0,1,0,1,5,11,2,1,71,3,0,2014,9,45,0,0,0,0
7,8,Abby,2014-06-25 08:27:00,0,Spayed Female,180.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,1,0,26,2,1,176,6,1,2014,8,27,0,0,1,0
8,9,Ruby Grace,2014-11-12 18:05:00,1,Spayed Female,90.0,449,1,95,102,0,2,1,2,2,2,5,2,0,1,0,46,2,1,316,11,2,2014,18,5,1,0,1,0
9,10,Ruby,2014-04-07 17:41:00,1,Spayed Female,365.0,1293,0,299,102,1,0,1,1,1,0,0,1,0,1,1,15,0,1,97,4,1,2014,17,41,1,0,1,0
10,11,Marlee,2014-01-01 17:03:00,1,Spayed Female,150.0,1023,0,235,102,1,4,1,1,1,1,1,5,0,1,0,1,2,1,1,1,0,2014,17,3,1,0,1,0
11,12,Lala,2014-09-19 15:40:00,1,Intact Female,730.0,1293,0,299,102,1,0,1,1,1,0,3,1,0,1,2,38,4,1,262,9,2,2014,15,40,1,0,1,1
12,13,Chloe,2015-01-25 15:13:00,1,Spayed Female,180.0,1293,0,299,102,1,0,1,1,1,0,0,-1,0,1,0,4,6,1,25,1,0,2015,15,13,1,0,1,0
13,14,,2015-09-22 18:17:00,1,Neutered Male,730.0,1165,0,257,102,1,2,1,1,1,3,1,-1,1,0,2,39,1,1,265,9,2,2015,18,17,1,0,0,0
14,15,Duffy,2014-07-20 19:24:00,1,Neutered Male,365.0,827,0,180,76,0,4,1,2,2,1,5,0,0,1,1,29,6,1,201,7,1,2014,19,24,1,0,0,0
15,16,Jiggy,2014-03-26 18:33:00,1,Spayed Female,120.0,1369,0,304,92,0,3,1,1,1,1,1,-1,1,1,0,13,2,1,85,3,0,2014,18,33,1,0,1,0
16,17,Ghengis,2015-05-29 17:04:00,1,Neutered Male,1825.0,750,0,145,102,0,4,0,2,2,1,5,4,0,1,3,22,4,1,149,5,1,2015,17,4,1,0,0,0
17,18,Decker,2016-01-19 19:31:00,1,Neutered Male,1095.0,787,1,159,102,0,4,2,0,0,0,1,13,0,1,2,3,1,1,19,1,0,2016,19,31,1,1,0,0
18,19,Freckles,2014-06-16 12:49:00,0,Spayed Female,1095.0,775,0,155,102,1,0,2,0,0,0,11,-1,1,1,2,25,0,1,167,6,1,2014,12,49,1,0,1,0
19,20,,2014-02-11 19:27:00,0,Intact Female,1460.0,775,0,155,102,1,0,2,0,0,0,11,-1,1,0,3,7,1,1,42,2,0,2014,19,27,1,0,1,1
20,21,Pumpkin,2014-11-14 19:32:00,0,Spayed Female,730.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,1,2,46,4,1,318,11,2,2014,19,32,1,0,1,0
21,22,,2015-05-04 13:46:00,0,Unknown,21.0,775,0,155,102,1,0,2,0,0,0,5,-1,1,0,0,19,0,1,124,5,1,2015,13,46,1,0,2,2
22,23,Pluto,2014-06-07 14:14:00,1,Neutered Male,365.0,1228,0,270,102,0,2,1,0,0,2,1,4,0,1,1,23,5,1,158,6,1,2014,14,14,1,0,0,0
23,24,,2014-07-20 15:37:00,0,Intact Female,7.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,0,0,29,6,1,201,7,1,2014,15,37,1,0,1,1
24,25,Portia,2013-10-26 16:23:00,1,Spayed Female,365.0,270,0,59,30,0,4,1,1,1,1,4,-1,1,1,1,43,5,1,299,10,2,2013,16,23,1,0,1,0
25,26,,2014-12-29 13:10:00,0,Neutered Male,365.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,1,1,0,1,363,12,3,2014,13,10,1,0,0,0
26,27,Lucy,2015-07-23 16:18:00,0,Spayed Female,60.0,772,0,153,102,1,0,2,0,0,0,5,-1,0,1,0,30,3,1,204,7,1,2015,16,18,1,0,1,0
27,28,,2015-03-19 08:33:00,1,Intact Male,60.0,1228,0,270,102,0,2,1,0,0,2,0,-1,1,0,0,12,3,1,78,3,0,2015,8,33,0,0,0,1
28,29,Jack,2014-10-09 17:22:00,1,Neutered Male,1095.0,1023,0,235,102,1,4,1,1,1,1,5,1,0,1,2,41,3,1,282,10,2,2014,17,22,1,0,0,0
29,30,Knight,2014-05-13 17:03:00,1,Neutered Male,730.0,1023,0,235,102,1,4,1,1,1,1,5,-1,1,1,2,20,1,1,133,5,1,2014,17,3,1,0,0,0
30,31,,2015-05-05 15:13:00,1,Spayed Female,1460.0,1375,0,307,102,0,1,1,0,0,2,5,1,0,0,3,19,1,1,125,5,1,2015,15,13,1,0,1,0
31,32,Indiana,2015-01-31 11:36:00,1,Spayed Female,60.0,569,0,114,54,0,2,1,2,2,2,5,1,0,1,0,5,5,1,31,1,0,2015,11,36,1,0,1,0
32,33,,2013-11-14 15:02:00,0,Neutered Male,730.0,772,0,153,102,1,0,2,0,0,0,0,-1,0,0,2,46,3,1,318,11,2,2013,15,2,1,0,0,0
33,34,Nord,2015-04-25 18:05:00,0,Neutered Male,60.0,775,0,155,102,1,0,2,0,0,0,0,1,0,1,0,17,5,1,115,4,1,2015,18,5,1,0,0,0
34,35,Alice,2015-08-02 12:59:00,0,Intact Female,60.0,775,0,155,102,1,0,2,0,0,0,14,-1,1,1,0,31,6,1,214,8,2,2015,12,59,1,0,1,1
35,36,Nick,2014-03-24 12:15:00,1,Neutered Male,365.0,91,0,28,102,0,3,1,2,2,1,6,1,0,1,1,13,0,1,83,3,0,2014,12,15,1,0,0,0
36,37,,2015-11-03 09:00:00,0,Neutered Male,1095.0,775,0,155,102,1,0,2,0,0,0,0,-1,0,0,2,45,1,1,307,11,2,2015,9,0,0,0,0,0
37,38,Pongo,2015-12-26 17:30:00,1,Neutered Male,60.0,1023,0,235,102,1,4,1,1,1,1,5,1,0,1,0,52,5,1,360,12,3,2015,17,30,1,10,0,0
38,39,Brittney,2015-12-30 15:57:00,1,Spayed Female,1460.0,1180,0,256,93,0,2,1,1,1,3,4,-1,1,1,3,53,2,1,364,12,3,2015,15,57,1,0,1,0
39,40,,2014-02-06 14:19:00,1,Neutered Male,365.0,345,0,73,102,0,2,1,1,1,2,25,-1,1,0,1,6,3,1,37,2,0,2014,14,19,1,0,0,0
40,41,Chaney,2015-10-31 16:02:00,1,Intact Female,270.0,208,0,40,102,0,2,1,2,2,1,13,-1,1,1,1,44,5,1,304,10,2,2015,16,2,1,0,1,1
41,42,,2014-05-13 13:23:00,0,Intact Male,4.0,775,0,155,102,1,0,2,0,0,0,8,-1,0,0,0,20,1,1,133,5,1,2014,13,23,1,0,0,1
42,43,Angie,2013-12-22 12:37:00,0,Spayed Female,365.0,775,0,155,102,1,0,2,0,0,0,5,1,0,1,1,51,6,1,356,12,3,2013,12,37,1,0,1,0
43,44,,2013-10-16 11:50:00,0,Intact Male,14.0,772,0,153,102,1,0,2,0,0,0,3,-1,1,0,0,42,2,1,289,10,2,2013,11,50,1,0,0,1
44,45,,2014-04-10 12:13:00,0,Neutered Male,730.0,775,0,155,102,1,0,2,0,0,0,3,-1,0,0,2,15,3,1,100,4,1,2014,12,13,1,0,0,0
45,46,,2014-02-24 14:57:00,1,Spayed Female,730.0,1649,0,401,121,0,3,1,1,1,1,13,-1,1,0,2,9,0,1,55,2,0,2014,14,57,1,0,1,0
46,47,Sophia,2014-03-07 12:42:00,0,Spayed Female,1095.0,775,0,155,102,1,0,2,0,0,0,8,1,0,1,2,10,4,1,66,3,0,2014,12,42,1,0,1,0
47,48,Frisco,2015-11-14 15:52:00,1,Neutered Male,730.0,1293,0,299,102,1,0,1,1,1,0,0,1,0,1,2,46,5,1,318,11,2,2015,15,52,1,0,0,0
