AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,IsPureBreed,Breed1,Breed2,IsPopularBreed,Color1,Color2,HasName,AgeGroup,WeekDay,Month,Quarter,Year,ExitHour,ExitMinute,IsOpen,Holiday,Sex,Fertile
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,1,Neutered Male,365.0,Shetland Sheepdog Mix,0,340,102,0,0,0,1,1,2,2,0,2014,18,22,1,0,0,0
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,0,Spayed Female,365.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,1,6,10,2,2013,12,44,1,0,1,0
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,1,Neutered Male,730.0,Pit Bull Mix,0,299,102,1,0,0,1,2,5,1,0,2015,12,28,1,0,0,0
A683430,,2014-07-11 19:09:00,Transfer,Partner,0,Intact Male,21.0,Domestic Shorthair Mix,0,155,102,1,1,-1,0,0,4,7,1,2014,19,9,1,0,0,1
A667013,,2013-11-15 12:52:00,Transfer,Partner,1,Neutered Male,730.0,Lhasa Apso/Miniature Poodle,0,239,100,0,0,-1,0,2,4,11,2,2013,12,52,1,0,0,0
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,1,Intact Female,30.0,Cairn Terrier/Chihuahua Shorthair,0,95,46,0,0,0,1,0,4,4,1,2014,13,4,1,0,1,1
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,0,Intact Male,21.0,Domestic Shorthair Mix,0,155,102,1,1,-1,1,0,5,3,0,2015,13,11,1,0,0,1
A701489,,2015-04-30 17:02:00,Transfer,Partner,0,Unknown,21.0,Domestic Shorthair Mix,0,155,102,1,2,-1,0,0,3,4,1,2015,17,2,1,0,2,2
A671784,Lucy,2014-02-04 17:17:00,Adoption,,1,Spayed Female,150.0,American Pit Bull Terrier Mix,0,18,102,0,0,0,1,0,1,2,0,2014,17,17,1,0,1,0
A677747,,2014-05-03 07:48:00,Adoption,Offsite,1,Spayed Female,365.0,Cairn Terrier,1,95,102,0,0,-1,0,1,5,5,1,2014,7,48,0,0,1,0
A668402,,2013-12-05 15:50:00,Transfer,SCRP,0,Unknown,730.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,2,3,12,3,2013,15,50,1,0,2,2
A666320,,2013-11-04 14:48:00,Adoption,,1,Spayed Female,730.0,Miniature Schnauzer Mix,0,259,102,0,0,-1,0,2,0,11,2,2013,14,48,1,0,1,0
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,1,Neutered Male,1460.0,Pit Bull Mix,0,299,102,1,0,-1,1,3,2,2,0,2016,11,27,1,0,0,0
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,1,Neutered Male,730.0,Yorkshire Terrier Mix,0,407,102,0,0,0,1,2,0,6,1,2015,16,30,1,0,0,0
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,1,Neutered Male,365.0,Great Pyrenees Mix,0,200,102,0,0,0,1,1,2,11,2,2015,15,0,1,9,0,0
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,0,Neutered Male,90.0,Domestic Shorthair Mix,0,155,102,1,3,0,1,0,5,7,1,2014,12,10,1,0,0,0
A678050,,2014-05-03 16:15:00,Transfer,Partner,0,Intact Male,21.0,Domestic Shorthair Mix,0,155,102,1,2,-1,0,0,5,5,1,2014,16,15,1,0,0,1
A680028,,2014-06-07 12:54:00,Transfer,Partner,1,Intact Female,14.0,Pit Bull Mix,0,299,102,1,0,0,0,0,5,6,1,2014,12,54,1,0,1,1
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,0,Intact Female,730.0,Angora Mix,0,26,102,0,0,-1,1,2,5,5,1,2014,11,32,1,0,1,1
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,1,Neutered Male,365.0,Flat Coat Retriever Mix,0,181,102,0,0,-1,1,1,2,7,1,2014,17,34,1,0,0,0
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,1,Intact Male,60.0,Queensland Heeler Mix,0,314,102,0,0,0,1,0,6,1,0,2014,15,3,1,1,0,1
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,0,Spayed Female,365.0,Domestic Shorthair Mix,0,155,102,1,0,-1,1,1,4,9,2,2015,15,19,1,0,1,0
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,1,Spayed Female,730.0,Plott Hound/Boxer,0,301,30,0,2,0,1,2,5,8,2,2015,14,22,1,0,1,0
A665781,Quattro,2013-10-28 16:32:00,Adoption,,1,Neutered Male,300.0,German Shepherd Mix,0,187,102,1,0,0,1,1,0,10,2,2013,16,32,1,0,0,0
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,1,Neutered Male,60.0,German Shepherd Mix,0,187,102,1,0,0,1,0,2,4,1,2014,17,44,1,0,0,0
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,0,Intact Female,30.0,Domestic Shorthair Mix,0,155,102,1,3,-1,1,0,5,10,2,2015,15,44,1,0,1,1
A718832,Nia,2016-01-15 17:31:00,Adoption,,1,Spayed Female,180.0,American Staffordshire Terrier Mix,0,21,102,0,0,0,1,0,4,1,0,2016,17,31,1,0,1,0
A698777,Chloe,2015-03-25 18:50:00,Adoption,,1,Spayed Female,1825.0,Chihuahua Shorthair Mix,0,115,102,1,0,0,1,3,2,3,0,2015,18,50,1,0,1,0
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,0,Spayed Female,60.0,Domestic Shorthair Mix,0,155,102,1,0,0,1,0,5,11,2,2015,13,1,1,0,1,0
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,0,Neutered Male,2555.0,Russian Blue Mix,0,326,102,0,0,-1,1,4,3,7,1,2015,14,30,1,0,0,0
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,0,Spayed Female,1095.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,2,4,1,0,2016,13,57,1,0,1,0
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,1,Intact Male,120.0,Labrador Retriever Mix,0,235,102,1,0,0,1,0,2,7,1,2015,15,25,1,0,0,1
A682532,,2014-07-03 17:01:00,Adoption,,0,Spayed Female,60.0,Domestic Shorthair Mix,0,155,102,1,0,-1,0,0,3,7,1,2014,17,1,1,0,1,0
